X-axis,Y-axis
35.0,10.0
35.0,11.0
35.0,12.0
35.0,13.0
35.0,14.0
35.0,15.0
35.0,16.0
35.0,17.0
35.0,18.0
35.0,19.0
35.0,20.0
35.0,21.0
35.0,22.0
35.0,23.0
35.0,24.0
35.0,25.0
35.0,26.0
35.0,27.0
35.0,28.0
35.0,29.0
35.0,30.0
35.0,31.0
35.0,32.0
35.0,33.0
35.0,34.0
35.0,35.0
35.0,36.0
35.0,37.0
35.0,38.0
35.0,39.0
35.0,40.0
35.0,41.0
35.0,42.0
35.0,43.0
35.0,44.0
35.0,45.0
35.0,46.0
35.0,47.0
35.0,48.0
35.0,49.0
35.0,50.0
35.0,51.0
35.0,52.0
35.0,53.0
35.0,54.0
35.0,55.0
35.0,56.0
35.0,57.0
35.0,58.0
35.0,59.0
35.0,60.0
35.0,61.0
35.0,62.0
35.0,63.0
35.0,64.0
35.0,65.0
35.0,66.0
35.0,67.0
35.0,68.0
35.0,69.0
35.0,70.0
